District,hour_sin,hour_cos,day_of_week,month_sin,month_cos,Timestamp,Risk_Probability,Action
5,0.7071067811865475,0.7071067811865476,2,-2.4492935982947064e-16,1.0,2025-12-10 03:00:00,0.49363713347389687,DISPATCH
5,-1.0,-1.8369701987210297e-16,2,-2.4492935982947064e-16,1.0,2025-12-10 18:00:00,0.49363713347389687,DISPATCH
5,1.0,6.123233995736766e-17,2,-2.4492935982947064e-16,1.0,2025-12-10 06:00:00,0.49363713347389687,DISPATCH
5,-0.9659258262890683,-0.25881904510252063,2,-2.4492935982947064e-16,1.0,2025-12-10 17:00:00,0.49363713347389687,DISPATCH
5,-0.9659258262890684,0.2588190451025203,2,-2.4492935982947064e-16,1.0,2025-12-10 19:00:00,0.49363713347389687,DISPATCH
5,-0.7071067811865471,-0.7071067811865479,2,-2.4492935982947064e-16,1.0,2025-12-10 15:00:00,0.49363713347389687,DISPATCH
5,-0.2588190451025208,-0.9659258262890683,2,-2.4492935982947064e-16,1.0,2025-12-10 13:00:00,0.49363713347389687,DISPATCH
5,0.258819045102521,-0.9659258262890682,2,-2.4492935982947064e-16,1.0,2025-12-10 11:00:00,0.49363713347389687,DISPATCH
5,0.49999999999999994,-0.8660254037844387,2,-2.4492935982947064e-16,1.0,2025-12-10 10:00:00,0.49363713347389687,DISPATCH
5,0.0,1.0,2,-2.4492935982947064e-16,1.0,2025-12-10 00:00:00,0.49363713347389687,DISPATCH
5,0.25881904510252074,0.9659258262890683,2,-2.4492935982947064e-16,1.0,2025-12-10 01:00:00,0.49363713347389687,DISPATCH
5,0.49999999999999994,0.8660254037844387,2,-2.4492935982947064e-16,1.0,2025-12-10 02:00:00,0.49363713347389687,DISPATCH
5,0.7071067811865476,-0.7071067811865475,2,-2.4492935982947064e-16,1.0,2025-12-10 09:00:00,0.49363713347389687,DISPATCH
5,1.2246467991473532e-16,-1.0,2,-2.4492935982947064e-16,1.0,2025-12-10 12:00:00,0.49363713347389687,DISPATCH
5,0.8660254037844386,0.5000000000000001,2,-2.4492935982947064e-16,1.0,2025-12-10 04:00:00,0.49363713347389687,DISPATCH
5,0.9659258262890683,0.25881904510252074,2,-2.4492935982947064e-16,1.0,2025-12-10 05:00:00,0.49363713347389687,DISPATCH
5,-0.4999999999999997,-0.8660254037844388,2,-2.4492935982947064e-16,1.0,2025-12-10 14:00:00,0.49363713347389687,DISPATCH
5,0.8660254037844387,-0.4999999999999998,2,-2.4492935982947064e-16,1.0,2025-12-10 08:00:00,0.49363713347389687,DISPATCH
9,-0.7071067811865477,0.7071067811865474,1,-2.4492935982947064e-16,1.0,2025-12-09 21:00:00,0.4910178475181688,DISPATCH
9,-0.5000000000000004,0.8660254037844384,1,-2.4492935982947064e-16,1.0,2025-12-09 22:00:00,0.4910178475181688,DISPATCH
9,-0.8660254037844386,0.5000000000000001,1,-2.4492935982947064e-16,1.0,2025-12-09 20:00:00,0.4910178475181688,DISPATCH
9,-0.25881904510252157,0.9659258262890681,1,-2.4492935982947064e-16,1.0,2025-12-09 23:00:00,0.4910178475181688,DISPATCH
9,-1.0,-1.8369701987210297e-16,2,-2.4492935982947064e-16,1.0,2025-12-10 18:00:00,0.48875028007000315,DISPATCH
9,-0.9659258262890684,0.2588190451025203,2,-2.4492935982947064e-16,1.0,2025-12-10 19:00:00,0.48875028007000315,DISPATCH
9,1.0,6.123233995736766e-17,2,-2.4492935982947064e-16,1.0,2025-12-10 06:00:00,0.48875028007000315,DISPATCH
9,-0.9659258262890683,-0.25881904510252063,2,-2.4492935982947064e-16,1.0,2025-12-10 17:00:00,0.48875028007000315,DISPATCH
9,1.2246467991473532e-16,-1.0,2,-2.4492935982947064e-16,1.0,2025-12-10 12:00:00,0.48875028007000315,DISPATCH
9,0.9659258262890683,-0.25881904510252063,2,-2.4492935982947064e-16,1.0,2025-12-10 07:00:00,0.48875028007000315,DISPATCH
9,0.8660254037844387,-0.4999999999999998,2,-2.4492935982947064e-16,1.0,2025-12-10 08:00:00,0.48875028007000315,DISPATCH
9,0.7071067811865476,-0.7071067811865475,2,-2.4492935982947064e-16,1.0,2025-12-10 09:00:00,0.48875028007000315,DISPATCH
9,0.9659258262890683,0.25881904510252074,2,-2.4492935982947064e-16,1.0,2025-12-10 05:00:00,0.48875028007000315,DISPATCH
9,0.49999999999999994,-0.8660254037844387,2,-2.4492935982947064e-16,1.0,2025-12-10 10:00:00,0.48875028007000315,DISPATCH
9,0.258819045102521,-0.9659258262890682,2,-2.4492935982947064e-16,1.0,2025-12-10 11:00:00,0.48875028007000315,DISPATCH
9,0.8660254037844386,0.5000000000000001,2,-2.4492935982947064e-16,1.0,2025-12-10 04:00:00,0.48875028007000315,DISPATCH
9,0.49999999999999994,0.8660254037844387,2,-2.4492935982947064e-16,1.0,2025-12-10 02:00:00,0.48875028007000315,DISPATCH
9,0.0,1.0,2,-2.4492935982947064e-16,1.0,2025-12-10 00:00:00,0.48875028007000315,DISPATCH
9,-0.2588190451025208,-0.9659258262890683,2,-2.4492935982947064e-16,1.0,2025-12-10 13:00:00,0.48875028007000315,DISPATCH
9,-0.4999999999999997,-0.8660254037844388,2,-2.4492935982947064e-16,1.0,2025-12-10 14:00:00,0.48875028007000315,DISPATCH
9,0.7071067811865475,0.7071067811865476,2,-2.4492935982947064e-16,1.0,2025-12-10 03:00:00,0.48875028007000315,DISPATCH
9,-0.7071067811865471,-0.7071067811865479,2,-2.4492935982947064e-16,1.0,2025-12-10 15:00:00,0.48875028007000315,DISPATCH
9,-0.8660254037844384,-0.5000000000000004,2,-2.4492935982947064e-16,1.0,2025-12-10 16:00:00,0.48875028007000315,DISPATCH
9,0.25881904510252074,0.9659258262890683,2,-2.4492935982947064e-16,1.0,2025-12-10 01:00:00,0.48875028007000315,DISPATCH
